"Date","City","Type","Observations"
"2018-12-31","Waitemata","Sentences","2431"
"2018-12-31","Waitemata","Orders","530"
"2018-12-31","Waitemata","Total","2961"
"2018-12-31","Wellington","Sentences","1969"
"2018-12-31","Wellington","Orders","439"
"2018-12-31","Wellington","Total","2408"
"2018-12-31","Whanganui/ Taranaki","Sentences","1251"
"2018-12-31","Whanganui/ Taranaki","Orders","364"
"2018-12-31","Whanganui/ Taranaki","Total","1615"
"2018-12-31","Other","Sentences","2"
"2018-12-31","Other","Orders","0"
"2018-12-31","Other","Total","2"
"2018-12-31","Auckland Region","Sentences",""
"2018-12-31","Auckland Region","Orders",""
"2018-12-31","Auckland Region","Total",""
"2018-12-31","Bay of Plenty Region","Sentences",""
"2018-12-31","Bay of Plenty Region","Orders",""
"2018-12-31","Bay of Plenty Region","Total",""
"2018-12-31","Canterbury Region","Sentences",""
"2018-12-31","Canterbury Region","Orders",""
"2018-12-31","Canterbury Region","Total",""
"2018-12-31","East Coast Region","Sentences",""
"2018-12-31","East Coast Region","Orders",""
"2018-12-31","East Coast Region","Total",""
"2018-12-31","Manukau Region","Sentences",""
"2018-12-31","Manukau Region","Orders",""
"2018-12-31","Manukau Region","Total",""
"2018-12-31","Nelson / Marlborough / West Coast Region","Sentences",""
"2018-12-31","Nelson / Marlborough / West Coast Region","Orders",""
"2018-12-31","Nelson / Marlborough / West Coast Region","Total",""
"2018-12-31","Northland Region","Sentences",""
"2018-12-31","Northland Region","Orders",""
"2018-12-31","Northland Region","Total",""
"2018-12-31","Otago / Southland Region","Sentences",""
"2018-12-31","Otago / Southland Region","Orders",""
"2018-12-31","Otago / Southland Region","Total",""
"2018-12-31","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2018-12-31","Taranaki / Whanganui / Manawatu Region","Orders",""
"2018-12-31","Taranaki / Whanganui / Manawatu Region","Total",""
"2018-12-31","Waikato Region","Sentences",""
"2018-12-31","Waikato Region","Orders",""
"2018-12-31","Waikato Region","Total",""
"2018-12-31","Wellington Region","Sentences",""
"2018-12-31","Wellington Region","Orders",""
"2018-12-31","Wellington Region","Total",""
"2019-03-31","Auckland","Sentences","2005"
"2019-03-31","Auckland","Orders","669"
"2019-03-31","Auckland","Total","2674"
"2019-03-31","Bay of Plenty","Sentences","1667"
"2019-03-31","Bay of Plenty","Orders","431"
"2019-03-31","Bay of Plenty","Total","2098"
"2019-03-31","Canterbury","Sentences","2557"
"2019-03-31","Canterbury","Orders","718"
"2019-03-31","Canterbury","Total","3275"
"2019-03-31","East Coast","Sentences","1999"
"2019-03-31","East Coast","Orders","508"
"2019-03-31","East Coast","Total","2507"
"2019-03-31","Manukau","Sentences","3589"
"2019-03-31","Manukau","Orders","1040"
"2019-03-31","Manukau","Total","4629"
"2019-03-31","Nelson/ West Coast","Sentences","1096"
"2019-03-31","Nelson/ West Coast","Orders","163"
"2019-03-31","Nelson/ West Coast","Total","1259"
"2019-03-31","Otago","Sentences","1060"
"2019-03-31","Otago","Orders","318"
"2019-03-31","Otago","Total","1378"
"2019-03-31","Otago and South/ Mid Canterbury","Sentences",""
